Order,environment,iac,iad,r1
Puniceispirillales,Aquatic,0,2,0.5
Puniceispirillales,animal gut,0,0,0
Puniceispirillales,human gut,0,0,0
Puniceispirillales,human oral,0,0,0
Puniceispirillales,human skin,0,0,0
Puniceispirillales,Wastewater,0,0,0
Puniceispirillales,Soil,0,0,0
Puniceispirillales,Plants,0,0,0
Puniceispirillales,shoot,0,0,0
Puniceispirillales,root,0,0,0
Propionibacteriales,Aquatic,0,0,0
Propionibacteriales,animal gut,0,0,0
Propionibacteriales,human gut,0,0,0
Propionibacteriales,human oral,0,0,0
Propionibacteriales,human skin,1,0,0.223606798
Propionibacteriales,Wastewater,0,0,0
Propionibacteriales,Soil,0,0,0
Propionibacteriales,Plants,0,0,0
Propionibacteriales,shoot,2,0,0.091287093
Propionibacteriales,root,0,0,0
Sphingomonadales,Aquatic,0,0,0
Sphingomonadales,animal gut,0,0,0
Sphingomonadales,human gut,0,0,0
Sphingomonadales,human oral,0,0,0
Sphingomonadales,human skin,0,0,0
Sphingomonadales,Wastewater,0,0,0
Sphingomonadales,Soil,0,0,0
Sphingomonadales,Plants,2,0,0.316227766
Sphingomonadales,shoot,3,1,0.129099445
Sphingomonadales,root,3,1,0.123091491
Burkholderiales,Aquatic,0,0,0
Burkholderiales,animal gut,0,0,0
Burkholderiales,human gut,0,0,0
Burkholderiales,human oral,0,0,0
Burkholderiales,human skin,0,0,0
Burkholderiales,Wastewater,0,3,0.306186218
Burkholderiales,Soil,0,3,0.387298335
Burkholderiales,Plants,2,1,0.387298335
Burkholderiales,shoot,2,12,0.241522946
Burkholderiales,root,4,37,0.394085055
Moraxellales,Aquatic,0,0,0
Moraxellales,animal gut,0,0,0
Moraxellales,human gut,0,0,0
Moraxellales,human oral,0,0,0
Moraxellales,human skin,0,0,0
Moraxellales,Wastewater,0,0,0
Moraxellales,Soil,0,0,0
Moraxellales,Plants,0,0,0
Moraxellales,shoot,26,0,0.329140294
Moraxellales,root,0,0,0
Pseudomonadales,Aquatic,0,0,0
Pseudomonadales,animal gut,0,0,0
Pseudomonadales,human gut,0,0,0
Pseudomonadales,human oral,0,0,0
Pseudomonadales,human skin,3,0,0.387298335
Pseudomonadales,Wastewater,0,0,0
Pseudomonadales,Soil,0,0,0
Pseudomonadales,Plants,0,0,0
Pseudomonadales,shoot,11,0,0.21408721
Pseudomonadales,root,13,0,0.221906341
Enterobacterales,Aquatic,0,0,0
Enterobacterales,animal gut,0,0,0
Enterobacterales,human gut,0,0,0
Enterobacterales,human oral,0,0,0
Enterobacterales,human skin,1,0,0.223606798
Enterobacterales,Wastewater,0,0,0
Enterobacterales,Soil,0,0,0
Enterobacterales,Plants,0,0,0
Enterobacterales,shoot,2,0,0.091287093
Enterobacterales,root,0,0,0
Caulobacterales,Aquatic,0,0,0
Caulobacterales,animal gut,0,0,0
Caulobacterales,human gut,0,0,0
Caulobacterales,human oral,0,0,0
Caulobacterales,human skin,0,0,0
Caulobacterales,Wastewater,0,0,0
Caulobacterales,Soil,1,0,0.223606798
Caulobacterales,Plants,0,0,0
Caulobacterales,shoot,0,0,0
Caulobacterales,root,1,0,0.061545745
Rhizobiales,Aquatic,0,0,0
Rhizobiales,animal gut,0,0,0
Rhizobiales,human gut,0,0,0
Rhizobiales,human oral,0,0,0
Rhizobiales,human skin,0,0,0
Rhizobiales,Wastewater,0,5,0.395284708
Rhizobiales,Soil,0,1,0.223606798
Rhizobiales,Plants,0,0,0
Rhizobiales,shoot,0,0,0
Rhizobiales,root,1,4,0.137620471
Actinomycetales,Aquatic,0,0,0
Actinomycetales,animal gut,0,0,0
Actinomycetales,human gut,0,0,0
Actinomycetales,human oral,0,0,0
Actinomycetales,human skin,0,0,0
Actinomycetales,Wastewater,0,0,0
Actinomycetales,Soil,0,0,0
Actinomycetales,Plants,0,0,0
Actinomycetales,shoot,1,0,0.064549722
Actinomycetales,root,1,0,0.061545745
Rhodobacterales,Aquatic,0,0,0
Rhodobacterales,animal gut,0,0,0
Rhodobacterales,human gut,0,0,0
Rhodobacterales,human oral,0,0,0
Rhodobacterales,human skin,0,0,0
Rhodobacterales,Wastewater,0,0,0
Rhodobacterales,Soil,0,0,0
Rhodobacterales,Plants,0,0,0
Rhodobacterales,shoot,0,0,0
Rhodobacterales,root,0,0,0
